Heosemys annandalii
Kennedia retrorsa
Mimosa kitrokala
Mimosa mensicola
Mimosa morongii
Sophora rubriflora
Salacia villiersii
Manihot neusana
Exacum socotranum
Scaevola socotraensis
Panicum socotranum
Bombus variabilis
Bombus rubriventris
Bertia cambojiensis
Cryptochloris wintoni
Melanopsis pachya
Streptocephalus gracilis
Namibcypris costata
Haematopinus oliveri
Hadramphus tuberculatus
Dryococelus australis
Riekoperla darlingtoni
Prosadenoporus agricola
Biantes parvulus
Salacia ferrifodina
Coccinia gabonensis
Gilbertiodendron barbulatum
Eligmocarpus cynometroides
Atelopus nocturnus
Holozoster ovalis
Ibalonius lomani
Sitalcicus incertus
Benoitinus elegans
Mitraceras crassipalpum
Nepenthes sumatrana
Nepenthes suratensis
Ailurops melanotis
Spilocuscus rufoniger
Spilocuscus wilsoni
Phalanger matanim
Dorcopsis atrata
Dendrolagus scottae
Dendrolagus mayri
Dendrolagus pulcherrimus
Lasiorhinus krefftii
Petaurus abidi
Gymnobelideus leadbeateri
Potorous gilbertii
Pseudocheirus occidentalis
Zaglossus bruijnii
Zaglossus attenboroughi
Pteropus aruensis
Chalinolobus tuberculatus
Pteralopex flanneryi
Dobsonia chapmani
Nyctophilus nebulosus
Natalus jamaicensis
Mystacina robusta
Mirimiri acrodonta
Pteropus howensis
Hipposideros lamottei
Hipposideros hypophyllus
Murina tenebrosa
Phyllonycteris aphylla
Muntiacus vuquangensis
Monodelphis unistriata
Marmosops handleyi
Abrocoma boliviensis
Ctenomys roigi
Ctenomys osvaldoreigi
Ctenomys sociabilis
Dasyprocta mexicana
Sicista armenica
Phyllomys unicolor
Phyllomys mantiqueirensis
Santamartamys rufodorsalis
Heterogeomys lanius
Dipodomys gravipes
Dendromus kahuziensis
Marmota vancouverensis
Cryptotis nelsoni
Sorex stizodon
Sorex sclateri
Tylomys bullaris
Tylomys tumbalensis
Melanomys zunigae
Peromyscus dickeyi
Peromyscus bullatus
Peromyscus caniceps
Peromyscus stephani
Peromyscus mekisturus
Peromyscus mayensis
Neotoma nelsoni
Habromys chinanteco
Habromys ixtlani
Habromys simulatus
Habromys lepturus
Reithrodontomys spectabilis
Gyldenstolpia fronto
Lophuromys eisentrauti
Tokudaia muenninki
Cremnomys elvira
Solomys ponceleti
Nilopegamys plumbeus
Meriones dahli
Uromys porculus
Uromys imperator
Uromys emmae
Zyzomys pedunculatus
Zyzomys palatalis
Crudia cauliflora
Millettia stipulata
Onobrychis aliacmonia
Oxygyne shinzatoi
Bulbophyllum gnomoniferum
Caladenia hastata
Lepanthes panope
Lepanthes sinuosa
Macropodanthus membraniferus
Crepidium kabense
Freycinetia baueriana
Taeniophyllum borneense
Cephaloscyllium sarawakensis
Amsonia orientalis
Belgrandiella cavernica
Falsipyrgula beysehirana
Hydrobia anatolica
Kirelia carinata
Kirelia murtici
Bythinella turca
Graecoanatolica brevis
Graecoanatolica conica
Islamia bunarbasa
Theodoxus altenai
Melanopsis ammonis
Melanopsis khabourensis
Melanopsis germaini
Melanopsis infracincta
Islamia anatolica
Cylindrophis isolepis
Gerrhopilus mirus
Brookesia desperata
Acizzia veski
Cypripedium wumengense
Paphiopedilum adductum
Paphiopedilum fowliei
Paphiopedilum urbanianum
Cypripedium segawae
Cypripedium taibaiense
Mexipedium xerophyticum
Paphiopedilum bougainvilleanum
Paphiopedilum cornuatum
Paphiopedilum dayanum
Paphiopedilum exul
Paphiopedilum fairrieanum
Paphiopedilum gigantifolium
Paphiopedilum guangdongense
Paphiopedilum inamorii
Paphiopedilum intaniae
Paphiopedilum kolopakingii
Paphiopedilum lawrenceanum
Paphiopedilum liemianum
Paphiopedilum ooii
Paphiopedilum parnatanum
Paphiopedilum platyphyllum
Paphiopedilum primulinum
Paphiopedilum qingyongii
Paphiopedilum rothschildianum
Paphiopedilum sanderianum
Paphiopedilum sangii
Paphiopedilum schoseri
Paphiopedilum stonei
Paphiopedilum sugiyamanum
Paphiopedilum supardii
Paphiopedilum victoria-mariae
Paphiopedilum victoria-regina
Paphiopedilum vietnamense
Paphiopedilum wentworthianum
Phragmipedium christiansenianum
Phragmipedium exstaminodium
Phragmipedium fischeri
Phragmipedium kovachii
Phragmipedium manzurii
Phragmipedium richteri
Phragmipedium tetzlaffianum
Occidozyga tompotika
Ochrosia fatuhivensis
Rauvolfia nukuhivensis
Eriocaulon sulanum
Eriocaulon petraeum
Sus cebifrons
Romulea insularis
Eleocharis lepta
Brachionidium pteroglossum
Cryptanthus diamantinensis
Masdevallia apparitio
Mastigostyla orurensis
Xyris ramboi
Carex lapazensis
Carex austromexicana
Carex ownbeyi
Pitcairnia oranensis
Aechmea cymosopaniculata
Calamus sabalensis
Cyperus chionocephalus
Panicum pearsonii
Xyris diaphanobracteata
Tillandsia yerba-santae
Guzmania bismarckii
Puccinellia raroflorens
Diuris byronensis
Grandiphyllum schunkeanum
Anathallis kleinii
Corybas dienemus
Prasophyllum favonium
Alopoglossus lehmanni
Drymoluber apurimacensis
Atractus arangoi
Synophis plectovertebralis
Micrurus medemi
Cheirostylis sherriffii
Oreorchis sanguinea
Atheris matildae
Equus africanus
Bunolagus monticularis
Mustela lutreola
Procyon pygmaeus
Viverra civettina
Romulea antiatlantica
Juncus maroccanus
Podisma emiliae
Podisma magdalenae
Podisma silvestrii
Prosymna ornatissima
Microcebus marohita
Bos sauveli
Bombus affinis
Bombus suckleyi
Epinephelus striatus
Kalophrynus yongi
Allotoca catarinae
Mabuya cochonae
Mabuya desiradae
Mabuya grandisterrae
Mabuya guadeloupae
Panopa croizati
Spondylurus culebrae
Spondylurus magnacruzae
Spondylurus monae
Spondylurus monitae
Spondylurus semitaeniatus
Spondylurus sloanii
Spondylurus spilonotus
Bellatorias obiri
Xenoclarias eupogon
Julidochromis transcriptus
Oreochromis chungruruensis
Oreochromis hunteri
Pseudosimochromis margaretae
Lates mariae
Lates microlepis
Copadichromis nkatae
Nothobranchius steinforti
Labeobarbus platystomus
Oreochromis lidole
Neobola fluviatilis
Nothobranchius fuscotaeniatus
Anisopappus burundiensis
Bothriocline auriculata
Senecio navugabensis
Garcinia tanzaniensis
Diospyros katendei
Euphorbia neospinescens
Chlorophytum rhizopendulum
Distylodon comptum
Polystachya maculata
Adenia lewallei
Chaetopoa pilosa
Snowdenia microcarpha
Ephippiger camillae
Prionotropis rhodanica
Anonconotus apenninigenus
Tettigonia longispina
Lycochloa avenacea
Cryptazeca elongata
Alsophylax tadjikiensis
Capensibufo rosei
Tarenna hutchinsonii
Otomys cheesmani
Acharagma aguirreanum
Thorectes coloni
Megophrys damrei
Asystasia masaiensis
Blepharis refracta
Brachystephanus schliebenii
Isoglossa asystasioides
Justicia callopsoidea
Justicia drummondii
Justicia mkungweensis
Megalochlamys tanaensis
Mellera insignis
Stenandriopsis grandiflora
Thunbergia austromontana
Thunbergia barbata
Thunbergia hamata
Euspondylus monsfumus
Echinotriton chinhaiensis
Andrias davidianus
Phyllodactylus sentosus
Nepenthes rigidifolia
Cypripedium froschii
Larimichthys crocea
Metaleptobasis gibbosa
Perissolestes remus
Palaemnema croceicauda
Palaemnema edmondi
Rhinoptera marginata
Bufo luchunnicus
Paruwrobates andinus
Rhaebo atelopoides
Rhaebo olallai
Ectopoglossus atopoglossus
Atelopus sanjosei
Eleutherodactylus acmonis
Peltophryne longinasus
Atelopus angelito
Atelopus arsyecue
Atelopus chocoensis
Atelopus ebenoides
Atelopus famelicus
Atelopus farci
Atelopus glyphus
Atelopus nicefori
Atelopus pachydermus
Atelopus petriruizi
Atelopus quimbaya
Atelopus simulatus
Atelopus sonsonensis
Atelopus subornatus
Boophis tsilomaro
Gephyromantis mafy
Eleutherodactylus albipes
Spinomantis nussbaumi
Stumpffia hara
Eleutherodactylus bartonsmithi
Eleutherodactylus blairhedgesi
Physella johnsoni
Eleutherodactylus bresslerae
Eleutherodactylus jaumei
Holcosus orcesi
Eleutherodactylus leberi
Commiphora wightii
Chlorophytum borivilianum
Gentiana kurroo
Gymnocladus assamicus
Saussurea costus
Tribulus rajasthanensis
Utleria salicifolia
Valeriana leschenaultii
Eleutherodactylus michaelschmidi
Eleutherodactylus orientalis
Eleutherodactylus rivularis
Eleutherodactylus symingtoni
Addax nasomaculatus
Beatragus hunteri
Nanger dama
Eleutherodactylus turquinensis
Lipotes vexillifer
Prunus murrayana
Bubalus mindorensis
Parashorea warburgii
Vatica patentinervia
Vatica yeechongii
Cochranella euhystrix
Encephalartos dolomiticus
Encephalartos equatorialis
Craugastor evanesco
Diasporus igneus
Anolis vanzolinii
Oreosaurus rhodogaster
Emmochliophis miops
Liolaemus aparicioi
Dalbergia stevensonii
Encephalartos sclavoi
Encephalartos whitelockii
Encephalartos mackenziei
Encephalartos macrostrobilus
Encephalartos munchii
Encephalartos pterogonus
Encephalartos hirsutus
Encephalartos inopinus
Oedipina chortiorum
Alnus djavanshirii
Alnus dolichocarpa
Betula gynoterminalis
Betula murrayana
Orestias cuvieri
Astroblepus formosus
Rhamdia xetequepeque
Orestias tutini
Orestias minuta
Aposturisoma myriodon
Rhamdella montana
Orestias uruni
Phreatobius sanguijuela
Nannostomus mortenthaleri
Anablepsoides speciosus
Ambystoma mexicanum
Sarcohyla calvicollina
Sarcohyla charadricola
Sarcohyla crassa
Sarcohyla cyanomma
Ecnomiohyla echinata
Sarcohyla labedactyla
Megastomatohyla mixe
Sarcohyla pachyderma
Megastomatohyla pellita
Sarcohyla psarosema
Sarcohyla sabrina
Sarcohyla siopela
Ecnomiohyla valancifer
Plectrohyla pycnochila
Quilticohyla acrochorda
Craugastor pozo
Craugastor taylori
Lithobates chichicuahutla
Lithobates pueblae
Ambystoma amblycephalum
Ambystoma dumerilii
Ambystoma leorae
Chiropterotriton arboreus
Chiropterotriton chiropterus
Chiropterotriton lavae
Chiropterotriton terrestris
Ixalotriton parvus
Pseudoeurycea ahuitzotl
Pseudoeurycea aquatica
Pseudoeurycea brunnata
Pseudoeurycea goebeli
Pseudoeurycea mixcoatl
Pseudoeurycea robertsi
Pseudoeurycea saltator
Pseudoeurycea smithi
Pseudoeurycea tenchalli
Pseudoeurycea teotepec
Pseudoeurycea tlahcuiloh
Pseudoeurycea unguidentis
Thorius arboreus
Thorius aureus
Thorius dubitus
Thorius grandis
Thorius infernalis
Thorius lunaris
Thorius magnipes
Thorius minutissimus
Thorius munificus
Thorius narismagnus
Thorius pulmonaris
Thorius schmidti
Thorius smithi
Thorius spilogaster
Pseudoeurycea obesa
Aquiloeurycea quetzalanensis
Viola amamiana
Viola utchinensis
Carex collifera
Arisaema kawashimae
Asarum gusk
Asarum monodoriflorum
Asarum okinawense
Asarum pellucidum
Nyctibatrachus indraneili
Atelopus certus
Atelopus limosus
Atelopus zeteki
Incilius fastidiosus
Colostethus latinasus
Oophaga arborea
Gastrotheca cornuta
Isthmohyla angustilineata
Isthmohyla calypsa
Isthmohyla debilis
Isthmohyla tica
Craugastor catalinae
Craugastor emcelae
Craugastor ranoides
Craugastor rhyacobatrachus
Oedipina maritima
Craugastor tabasarae
Bolitoglossa copia
Ecnomiohyla rabborum
Cryptotriton monzoni
Rhinella chrysophora
Incilius holdridgei
Dryophytes bocourti
Ptychohyla dendrophasma
Isthmohyla pictipes
Plectrohyla chrysopleura
Plectrohyla exquisita
Plectrohyla glandulosa
Plectrohyla tecunumani
Plectrohyla teuchestes
Atlantihyla panchoi
Craugastor adamastus
Craugastor andi
Craugastor angelicus
Craugastor cruzi
Craugastor epochthidius
Craugastor escoces
Craugastor fleischmanni
Craugastor inachus
Craugastor merendonensis
Craugastor milesi
Craugastor olanchano
Craugastor phasma
Craugastor saltuarius
Craugastor stadelmani
Craugastor trachydermus
Leptodactylus silvanimbus
Lithobates miadis
Bolitoglossa carri
Bolitoglossa celaque
Bolitoglossa decora
Bolitoglossa jacksoni
Bolitoglossa longissima
Bolitoglossa synoria
Cryptotriton veraepacis
Dendrotriton bromeliacius
Dendrotriton cuchumatanus
Dendrotriton rabbi
Dendrotriton sanctibarbarus
Nototriton saslaya
Nototriton stuarti
Craugastor campbelli
Craugastor nefrens
Bolitoglossa oresbia
Oedipina tomasi
Cryptotriton sierraminensis
Dendrotriton kekchiorum
Bolitoglossa suchitanensis
Bolitoglossa insularis
Stenocercus haenschi
Salmo ischchan
Metioche payendeei
Metioche superbus
Paradecolya briseferi
Rodriguesiophisis spinifera
Incilius majordomus
Liolaemus azarai
Liolaemus cuyumhue
Thoracistus arboreus
Thoracistus peringueyi
Transkeidectes multidentis
Acilacris furcatus
Acilacris kristinae
Aroegas nigroornatus
Paracilacris periclitatus
Cedarbergeniana imperfecta
Griffiniana duplessisae
Peringueyella zulu
Homonota rupicola
Homonota taragui
Costus barbatus
Costus vinosus
Costus geothyrsus
Aegiphila caymanensis
Dendrophylax fawcettii
Pisonia margaretiae
Dendropemon caymanensis
Agalinis kingsii
Banara caymanensis
Salvia caymanensis
Encyclia kingsii
Casearia staffordiae
Verbesina caymanensis
Atelopus lynchi
Atelopus orcesi
Puntius madhusoodani
Tor remadevii
Pyrgacris relictus
Phaseolus lignosus
Dysdera portisancti
Centromerus anoculus
Centromerus sexoculatus
Typhochrestus acoreensis
Hogna ingens
Oecobius selvagensis
Meta barreti
Xysticus grohi
Canariphantes junipericola
Canariphantes relictus
Savigniorrhipis topographicus
Acorigone zebraneus
Agyneta depigmentata
Cheiracanthium floresense
Bedotia tricolor
Paretroplus maculatus
Typhleotris pauliani
Anoxypristis cuspidata
Pristis zijsron
Paretroplus menarambo
Paretroplus dambabe
Paretroplus gymnopreopercularis
Ptychochromis insolitus
Rheocles derhami
Haplochromis desfontainii
Coptodon coffea
Sarotherodon knauerae
Sarotherodon lamprechti
Typhleotris mararybe
Telmatochromis brichardi
Psychotria whistleri
Platymantis insulatus
Plectostoma retrovertens
Pomacea ocanensis
Plectostoma umbilicatum
Plectostoma turriforme
Plectostoma tenggekensis
Plectostoma dindingensis
Plectostoma charasense
Hyridella glenelgensis
Moema claudiae
Eleutherodactylus mariposa
Chamaedorea plumosa
Myrcianthes ferreyrae
Liolaemus rabinoi
Rhizosomichthys totae
Pimelodus grosskopfii
Scalesia gordilloi
Drymaria monticola
Lathyrus odoratus
Camellia fangchengensis
Fraxinus americana
Fraxinus nigra
Fraxinus pennsylvanica
Fraxinus quadrangulata
Breonia madagascariensis
Madhuca lanceolata
Manilkara celebica
Castanea dentata
Hazomalania voyronii
Centrolobium ochroxylum
Dalbergia granadillo
Camellia cupiformis
Camellia fascicularis
Camellia hekouensis
Camellia ilicifolia
Camellia impressinervis
Camellia luteoflora
Polyspora ceylanica
Polyspora dassanayakei
Polyspora elliptica
Polyspora gardneri
Pyrenaria menglaensis
Isophya beybienkoi
Pyrgacris descampsi
Gastrimargus immaculatus
Pseudosaga maraisi
Brachystegia oblonga
Martellidendron gallinarum
Pandanus ambalavaoensis
Pandanus kuepferi
Pandanus macrophyllus
Pandanus maromokotrensis
Pandanus sermollianus
Pandanus spicatus
Pandanus tazoanii
Brachyglottis pentacopa
Veronica barkeri
Asarum tabatanum
Metrosideros bartlettii
Pennantia baylisiana
Quercus graciliformis
Hynobius maoershanensis
Pseudohynobius puxiongensis
Oreolalax liangbeiensis
Scutiger maculatus
Paramesotriton labiatus
Hypselotriton chenggongensis
Hynobius guabangshanensis
Pseudohynobius shuichengensis
Rana chevronta
Pseudohynobius kuankuoshuiensis
Gynura campanulata
Vernonia ballyi
Dalbergia aurea
Malus spontanea
Malaxis bayardii
Peristylus holochila
Cicindela albissima
Homoeodera elateroides
Homoeodera edithia
Homoeodera scolytoides
Homoeodera major
Paraheliophanus napoleon
Adansonia perrieri
Helenoconcha relicta
Impatiens granulifera
Pentachlaena betamponensis
Cloiselia humbertii
Seringia macrantha
Tachiadenus vohimavensis
Ambrella longituba
Charopa lafargei
Cyperus grandifolius
Calophyllum africanum
Hexalectris revoluta
Cyclopogon werffii
Eostemmiulus caecus
Acostaea rivolii
Sphaeromimus andrahomana
Sphaeromimus titanus
Microsphaerotherium anjozorobe
Zoosphaerium darthvaderi
Zoosphaerium heleios
Zoosphaerium piligerum
Zoosphaerium priapus
Zoosphaerium tampolo
Zoosphaerium xerophilum
Cryptommata cucullata
Argaterma multisignata
Bembidion grayanum
Bembidion dicksoniae
Bembidion platyderoides
Nyhimbricus wollastoni
Valenfriesia congener
Homoeodera nodulipennis
Homoeodera asteris
Mymarilla wollastoni
Pseudostenoscelis sculpturata
Stonasla consors
Stonasla undulata
Cheiracanthium wilma
Homoeodera rotundipennis
Chlorita edithae
Lopsallus flavosparsus
Aerva congesta
Dracaena umbraculifera
Onychogomphus boudoti
Gonatodes infernalis
Streptocarpus acicularis
Moringa hildebrandtii
Tylostigma madagascariense
Tylostigma filiforme
Goodyera flaccida
Tylostigma herminioides
Bulbophyllum ceriodorum
Cynorkis formosa
Garcinia capuronii
Cynorkis globifera
Senecio antambolorum
Cynorkis marojejyensis
Cynorkis humbertii
Melicope fatraina
Cynorkis pseudorolfei
Cynorkis ambondrombensis
Cynorkis tristis
Chassalia coursii
Eulophia nervosa
Hubertia neoheimii
Senecio antaisaka
Cynorkis monadenia
Cynorkis schlechterii
Impatiens oniveensis
Cynorkis bimaculata
Cynorkis souegesii
Disperis ciliata
Eulophia grandidieri
Cynorkis catatii
Cynorkis rolfei
Cynorkis muscicola
Senecio ambositrensis
Syncephalum tsinjoarivense
Hubertia heimii
Uvaria manjensis
Cynorkis sacculata
Impatiens mandrakae
Graphorkis medemiae
Cynorkis pinguicularioides
Cynorkis sagittata
Grammangis spectabilis
Cynorkis sylvatica
Megalorchis regalis
Disperis bosseri
Apodocephala coursii
Eulophia mangenotiana
Cryptopus dissectus
Astroblepus ubidiai
Sturisomatichthys frenatus
Leiopelma archeyi
Dioscorea decaryana
Dioscorea namorokensis
Cycas sancti-lasallei
Zamia grijalvensis
Cycas annaikalensis
Cycas collina
Cycas curranii
Pseudolaureola atlantica
Agdistis marionae
Commidendrum rotundifolium
Commidendrum robustum
Commidendrum spurium
Pladaroxylon leucadendron
Wahlenbergia linifolia
Trochetiopsis ebenus
Phylica polifolia
Withania begoniifolia
Frankenia portulacifolia
Elaphoglossum dimorphum
Elaphoglossum nervosum
Asplenium haughtonii
Dryopteris cognata
Plantago robusta
Bulbostylis neglecta
Eragrostis episcopulus
Kewa acida
Euphorbia heleniana
Pelargonium cotyledonis
Nesohedyotis arborea
Guibemantis punctatus
Rhachistia aldabrae
Taeniophallus nebularis
Magnolia arroyoana
Magnolia faustinomirandae
Magnolia lacandonica
Magnolia manguillo
Magnolia mayae
Magnolia ofeliae
Magnolia vallartensis
Magnolia wendtii
Magnolia jardinensis
Embelia keniensis
Gnaphosa funerea
Ripersiella mediatlantica
Homoeodera longefasciata
Homoeodera paivae
Valenfriesia janischi
Valenfriesia rotundata
Benoitodes caheni
Hogna cinica
Lycosa elysae
Tetrablemma helenense
Bonapruncinia sanctaehelenae
Bathyphantes gracilipes
Napometa trifididens
Mysmena isolata
Helenidion huberti
Argaterma alticola
Sanctahelenia insularis
Ceroxylon quindiuense
Hyophorbe verschaffeltii
Trioza barrettae
Helenasaldula aberrans
Kerzhneria hirsuta
Atractus multidentatus
Drosera oreopodion
Araucaria nemorosa
Dacrydium guillauminii
Pittosporum tanianum
Pittosporum brevispinum
Pittosporum muricatum
Pittosporum ornatum
Araucaria schmidii
Pittosporum artense
Pittosporum gatopense
Dalbergia retusa
Exacum conglomeratum
Shorea macrantha
Gonystylus bancanus
Dictyosperma album
Plerandra baillonii
Plerandra sp. nov. 'letocartiorum'
Plerandra sp. nov. 'mackeei'
Plerandra sp. nov. 'memaoyaensis'
Plerandra sp. nov. 'pouemboutensis'
Podonephelium cristagalli
Podonephelium parvifolium
Cyrtandra mareensis
Tychiorhinus lineatus
Tychiorhinus porrectus
Chalcotrogus oblongior
Eucoptoderus affinis
Microxylobius dimidiatus
Microxylobius granulosus
Microxylobius sculpturatus
Tapiromimus gibbirostris
Pentarthrodes dicksoniae
Nesiobius ascendens
Nesiobius barbatus
Nesiobius breviusculus
Nesiobius gracilis
Nesiobius simplex
Nesiobius sulcicollis
Acanthinomerus wollastoni
Lamprochrus hedyotinus
Bembidion nubigena
Bembidion sublimbatum
Bembidion rufosuffusum
Bembidion fossor
Bembidion gemmulipenne
Bembidion evanescens
Elachista trifasciata
Anthicodes maculatus
Mellissius eudoxus
Mellissius oryctoides
Mellissius popei
Opogona actaeon
Opogona brunneomarmorata
Pseudodiploexochus insularis
Pseudodiploexochus mellissi
Scotowithius helenae
Dalbergia davidii
Boophis ankarafensis
Cephaloscyllium albipinnum
Glaucostegus typus
Pristis clavata
Rhynchobatus australiae
Angraecum perhumile
Schizolaena tampoketsana
Drypetes oppositifolia
Bourreria angustifolia
Octolepis aymoniniana
Crotalaria peltieri
Angraecum serpens
Angraecum palmicolum
Angraecum potamophilum
Cynoglossum lowryanum
Angraecum muscicolum
Benthamia nigro-vaginata
Aspidostemon trichandra
Erythrophysa paniculata
Aspidostemon reticulatus
Foetidia rubescens
Angraecum rigidifolium
Pachypodium inopinatum
Foetidia capuronii
Breonia richardsonii
Aspidostemon capuronii
Camptocarpus cornutus
Aspidostemon litoralis
Bulbophyllum tampoketsense
Ipomoea perrieri
Perrierodendron rodoense
Hymenodictyon seyrigii
Crotalaria bosseri
Bulbophyllum sanguineum
Benthamia catatiana
Polyscias gruschvitzkii
Angraecum mahavavense
Begonia cladocarpoides
Hyperacanthus madagascariensis
Cedrelopsis gracilis
Micronychia benono
Aspidostemon synandra
Crossandra acutiloba
Aspidostemon caudatus
Aeranthes leandriana
Aeranthes multinodis
Aeranthes albidiflora
Aspidostemon inconspicuus
Operculicarya capuronii
Pachypodium eburneum
Crossandra cinnabarina
Buxus capuronii
Talinella bosseri
Pterophylla henricorum
Pleurolobus lobatus
Dalbergia occulta
Benthamia dauphinensis
Bulbophyllum minax
Impatiens boinensis
Perrierodendron quartzitorum
Angraecum sterrophyllum
Aspidostemon triantherus
Tabernaemontana capuronii
Exacum nossibeense
Bulbophyllum erythroglossum
Impatiens rapanarivoi
Angraecum peyrotii
Gaertnera schatzii
Aspidostemon grayi
Cynoglossum tsaratananense
Alistilus magnificus
Angraecum rubellum
Astragalus kurnet-es-saudae
Cycas debaoensis
Cycas fugax
Cycas glauca
Cycas hongheensis
Cycas javana
Cycas multipinnata
Camellia oconoriana
Aerotegmina megaloptera
Pseudococcus markharveyi
Hyperolius davenporti
Hyperolius ruvuensis
Cycas pachypoda
Cycas pranburiensis
Chouxia saboureaui
Aspidostemon masoalensis
Aspidostemon macrophyllus
Aspidostemon manongarivensis
Lepidotrichilia sambiranensis
Aspidostemon insignis
Aspidostemon occultus
Benthamia majoriflora
Magnolia sanchez-vegae
Physella wrighti
Crinum malabaricum
Tephrosia pinifolia
Zamia oreillyi
Zamia oligodonta
Zamia inermis
Zamia katzeriana
Zamia wallisii
Zamia montana
Zamia restrepoi
Liolaemus curis
Liolaemus paulinae
Camellia inusitata
Bulbophyllum moratii
Stephanodaphne perrieri
Pterophylla marojejyensis
Breonia membranacea
Begonia razafinjohanyi
Tachiadenus umbellatus
Cedrelopsis procera
Stenobothrus croaticus
Isophya boldyrevi
Isophya doneciana
Isophya gulae
Poecilimon pechevi
Bradyporus montandoni
Uromenus dyrrhachiacus
Pethia pookodensis
Buellia asterella
Sulcaria isidiifera
Camellia duyana
Camellia bugiamapensis
Nothophantes horridus
Camellia dalatensis
Troglophilus marinae
Parnassiana gionica
Parnassiana menalon
Parnassiana nigromarginata
Parnassiana panaetolikon
Rhacocleis trilobata
Dentiraja confusa
Chrysochraon beybienkoi
Italopodisma baccettii
Italopodisma ebneri
Leptophyes calabra
Decorana drepanensis
Sardoplatycleis galvagnii
Uromenus riggioi
Eugenia kameruniana
Allium akirense
Glyptothorax kashmirensis
Choerophryne siegfriedi
Alsophis antiguae
Celestus duquesneyi
Sphaerodactylus williamsi
Sphaerodactylus callocricus
Gonatodes daudini
Solanum bombycinum
Solanum salasianum
Zeuxine rolfiana
Pentactina rupicola
Phalangacris alluaudi
Troglophilus alanyaensis
Pentaphlebia gamblesi
Axis kuhlii
Eurya zigzag
Entyloma maroccanum
Sporisorium elionuri-tristis
Raorchestes aureus
Raorchestes primarrumpfi
Micrixalus spelunca
Micrixalus specca
Dericorys minutus
Acrostira bellamyi
Evergoderes cabrerai
Anolis altavelensis
Anolis darlingtoni
Anolis ernestwilliamsi
Anolis eugenegrahami
Anolis nelsoni
Anolis rimarum
Anolis singularis
Platycypha amboniensis
Africallagma cuneistigma
Coracinotus squamiferus
Ctenodecticus major
Platycleis iberica
Leiocephalus onaneyi
Sphaerodactylus nycteropus
Tropidophis bucculentus
Tropidophis caymanensis
Tropidophis parkeri
Tropidophis schwartzi
Tropidophis stullae
Destuntzia rubra
Rhampholeon hattinghi
Kinyongia mulyai
Liphistius kanthan
Atlantica engonata
Napaeus arinagaensis
Paedophryne kathismaphlox
Phrynobatrachus njiomock
Alsodes cantillanensis
Rhinacanthus selousensis
Poecilozonites bermudensis
Poecilozonites circumfirmatus
Arthroleptella subvoce
Arthroleptella rugosa
Vandijkophrynus amatolicus
Arthroleptis troglodytes
Nidirana hainanensis
Zea perennis
Platycleis kibris
Octodon pacificus
Tympanoctomys aureus
Tympanoctomys loschalchalerosorum
Cophixalus monticola
Philoria frosti
Litoria myola
Pseudophryne corroboree
Anstisia alba
Cophixalus mcdonaldi
Cophixalus neglectus
Pseudophryne pengilleyi
Litoria castanea
Litoria spenceri
Litoria lorica
Taudactylus pleione
Taudactylus rheophilus
Cophixalus concinnus
Litoria kroombitensis
Eugenia stibephylla
Eugenia stictophylla
Cornicandovia australica
Hibiscus brackenridgei
Haliotis corrugata
Haliotis fulgens
Haliotis rufescens
Haliotis sorenseni
Haliotis walallensis
Asplenium dielerectum
Asplenium dielpallidum
Haliotis cracherodii
Cyanea grimesiana
Cyanea lobata
Cyanea longiflora
Cyanea magnicalyx
Cyanea munroi
Cyanea platyphylla
Cyanea shipmanii
Batrachoseps relictus
Crossodactylus dispar
Quercus dinghuensis
Aloe guillaumetii
Salvia peyronii
Aconitum chasmanthum
Rhododendron wilhelminae
Dracaena tamaranae
Sorbus adamii
Sorbus andreanszkyana
Sorbus borosiana
Sorbus cheddarensis
Sorbus eminentoides
Sorbus lancifolia
Sorbus parviloba
Sorbus pseudomeinichii
Sorbus rupicoloides
Sorbus scannelliana
Sorbus stirtoniana
Sorbus whiteana
Sorbus zertovae
Eupsophus insularis
Rhinoderma rufum
Telmatobius pefauri
Alsodes pehuenche
Telmatobius fronteriensis
Telmatobius philippii
Neolissochilus bovanicus
Karstama balicum
Karstama emdi
Delissea rhytidosperma
Delissea takeuchii
Delissea waianaeensis
Lilium polyphyllum
Eragrostis fosbergii
Geranium arboreum
Gouania hillebrandii
Hesperomannia arborescens
Isodendrion hosakae
Kadua coriacea
Kadua degeneri
Kadua parvula
Lobelia oahuensis
Lysimachia filifolia
Lysimachia maxima
Wollastonia fauriei
Wollastonia kamolensis
Wollastonia micrantha
Wollastonia venosa
Wollastonia waimeaensis
Melicope lydgatei
Melicope munroi
Melicope reflexa
Neraudia angulata
Panicum niihauense
Phyllostegia glabra
Phyllostegia haliakalae
Phyllostegia hirsuta
Phyllostegia hispida
Phyllostegia knudsenii
Phyllostegia mannii
Phyllostegia parviflora
Phyllostegia pilosa
Phyllostegia racemosa
Phyllostegia velutina
Phyllostegia waimeae
Phyllostegia warshaueri
Phyllostegia wawrana
Plantago hawaiensis
Poa mannii
Poa sandvicensis
Poa siphonoglossa
Sanicula mariversa
Scaevola coriacea
Schiedea haleakalensis
Schiedea hookeri
Schiedea lydgatei
Schiedea verticillata
Sicyos albus
Silene alexandri
Silene perlmanii
Solanum incompletum
Solanum sandwicense
